REF_AREA,TIME_PERIOD,PRODUCTION
IQ,2002-01,0.0000
IQ,2002-02,0.0000
IQ,2002-03,0.0000
IQ,2002-04,0.0000
IQ,2002-05,0.0000
IQ,2002-06,0.0000
IQ,2002-07,0.0000
IQ,2002-08,0.0000
IQ,2002-09,0.0000
IQ,2002-10,0.0000
IQ,2002-11,0.0000
IQ,2002-12,0.0000
IQ,2003-01,0.0000
IQ,2003-02,0.0000
IQ,2003-03,0.0000
IQ,2003-04,0.0000
IQ,2003-05,0.0000
IQ,2003-06,0.0000
IQ,2003-07,0.0000
IQ,2003-08,0.0000
IQ,2003-09,0.0000
IQ,2003-10,0.0000
IQ,2003-11,0.0000
IQ,2003-12,0.0000
IQ,2004-01,0.0000
IQ,2004-02,0.0000
IQ,2004-03,0.0000
IQ,2004-04,0.0000
IQ,2004-05,0.0000
IQ,2004-06,0.0000
IQ,2004-07,0.0000
IQ,2004-08,0.0000
IQ,2004-09,0.0000
IQ,2004-10,0.0000
IQ,2004-11,0.0000
IQ,2004-12,0.0000
IQ,2005-01,0.0000
IQ,2005-02,0.0000
IQ,2005-03,0.0000
IQ,2005-04,0.0000
IQ,2005-05,0.0000
IQ,2005-06,0.0000
IQ,2005-07,0.0000
IQ,2005-08,0.0000
IQ,2005-09,0.0000
IQ,2005-10,0.0000
IQ,2005-11,0.0000
IQ,2005-12,0.0000
IQ,2006-01,0.0000
IQ,2006-02,0.0000
IQ,2006-03,0.0000
IQ,2006-04,0.0000
IQ,2006-05,0.0000
IQ,2006-06,0.0000
IQ,2006-07,0.0000
IQ,2006-08,0.0000
IQ,2006-09,0.0000
IQ,2006-10,0.0000
IQ,2006-11,0.0000
IQ,2006-12,0.0000
IQ,2007-01,1538.0000
IQ,2007-02,1915.0000
IQ,2007-03,1953.0000
IQ,2007-04,1971.0000
IQ,2007-05,1978.0000
IQ,2007-06,1988.0000
IQ,2007-07,2024.0000
IQ,2007-08,2043.0000
IQ,2007-09,2186.0000
IQ,2007-10,2270.0000
IQ,2007-11,2266.0000
IQ,2007-12,2288.0000
IQ,2008-01,2078.0000
IQ,2008-02,2341.0000
IQ,2008-03,2339.0000
IQ,2008-04,2357.0000
IQ,2008-05,2365.0000
IQ,2008-06,2265.0000
IQ,2008-07,2358.0000
IQ,2008-08,2282.0000
IQ,2008-09,2180.0000
IQ,2008-10,2215.0000
IQ,2008-11,2410.0000
IQ,2008-12,2231.0000
IQ,2009-01,2181.0000
IQ,2009-02,2187.0000
IQ,2009-03,2328.0000
IQ,2009-04,2293.0000
IQ,2009-05,2311.0000
IQ,2009-06,2407.0000
IQ,2009-07,2412.0000
IQ,2009-08,2390.0000
IQ,2009-09,2374.0000
IQ,2009-10,2384.0000
IQ,2009-11,2377.0000
IQ,2009-12,2378.0000
IQ,2010-01,2391.0000
IQ,2010-02,2449.0000
IQ,2010-03,2275.0000
IQ,2010-04,2290.0000
IQ,2010-05,2296.0000
IQ,2010-06,2319.0000
IQ,2010-07,2301.0000
IQ,2010-08,2333.0000
IQ,2010-09,2370.0000
IQ,2010-10,2373.0000
IQ,2010-11,2403.0000
IQ,2010-12,2775.0000
IQ,2011-01,2652.0000
IQ,2011-02,2630.0000
IQ,2011-03,2525.0000
IQ,2011-04,2624.0000
IQ,2011-05,2721.0000
IQ,2011-06,2712.0000
IQ,2011-07,2719.0000
IQ,2011-08,2689.0000
IQ,2011-09,2648.0000
IQ,2011-10,2590.0000
IQ,2011-11,2665.0000
IQ,2011-12,2660.0000
IQ,2012-01,2647.0000
IQ,2012-02,2541.0000
IQ,2012-03,2691.0000
IQ,2012-04,2942.0000
IQ,2012-05,2915.0000
IQ,2012-06,2951.0000
IQ,2012-07,3051.0000
IQ,2012-08,3165.0000
IQ,2012-09,3235.0000
IQ,2012-10,3137.0000
IQ,2012-11,3190.0000
IQ,2012-12,2935.0000
IQ,2013-01,2920.0000
