REF_AREA,TIME_PERIOD,PRODUCTION
MX,2002-01,3245.1750
MX,2002-02,3132.2732
MX,2002-03,3116.2500
MX,2002-04,3171.3000
MX,2002-05,3127.7250
MX,2002-06,3150.6075
MX,2002-07,3138.0750
MX,2002-08,3209.4000
MX,2002-09,3159.2100
MX,2002-10,3255.7500
MX,2002-11,3075.0450
MX,2002-12,3269.0250
MX,2003-01,3330.6750
MX,2003-02,3324.5839
MX,2003-03,3319.6500
MX,2003-04,3284.2950
MX,2003-05,3321.6750
MX,2003-06,3400.7775
MX,2003-07,3405.3750
MX,2003-08,3431.2500
MX,2003-09,3424.2600
MX,2003-10,3404.7000
MX,2003-11,3385.4325
MX,2003-12,3461.8500
MX,2004-01,3423.8250
MX,2004-02,3374.6974
MX,2004-03,3383.3250
MX,2004-04,3455.6475
MX,2004-05,3409.4250
MX,2004-06,3452.1600
MX,2004-07,3376.8000
MX,2004-08,3368.2500
MX,2004-09,3447.2775
MX,2004-10,3468.3750
MX,2004-11,3380.0850
MX,2004-12,3234.1500
MX,2005-01,3367.5750
MX,2005-02,3365.1884
MX,2005-03,3265.4250
MX,2005-04,3425.8875
MX,2005-05,3456.6750
MX,2005-06,3437.7450
MX,2005-07,3089.7000
MX,2005-08,3426.0750
MX,2005-09,3377.7600
MX,2005-10,3227.6250
MX,2005-11,3319.1700
MX,2005-12,3397.2750
MX,2006-01,3383.1000
MX,2006-02,3320.5982
MX,2006-03,3359.2500
MX,2006-04,3379.1550
MX,2006-05,3337.2000
MX,2006-06,3293.1300
MX,2006-07,3234.3750
MX,2006-08,3254.1750
MX,2006-09,3259.6500
MX,2006-10,3172.7250
MX,2006-11,3162.6975
MX,2006-12,2973.1500
MX,2007-01,3140.7750
MX,2007-02,3145.9741
MX,2007-03,3182.1750
MX,2007-04,3181.7625
MX,2007-05,3112.4250
MX,2007-06,3205.2450
MX,2007-07,3164.1750
MX,2007-08,2839.7250
MX,2007-09,3158.2800
MX,2007-10,2988.2250
MX,2007-11,2896.4850
MX,2007-12,2949.9750
MX,2008-01,2953.1250
MX,2008-02,2924.6897
MX,2008-03,2840.6250
MX,2008-04,2762.1000
MX,2008-05,2791.1250
MX,2008-06,2828.8275
MX,2008-07,2771.3250
MX,2008-08,2748.6000
MX,2008-09,2711.4150
MX,2008-10,2745.2250
MX,2008-11,2697.9300
MX,2008-12,2703.6000
MX,2009-01,2710.9548
MX,2009-02,2688.8829
MX,2009-03,2674.8697
MX,2009-04,2663.0240
MX,2009-05,2628.9639
MX,2009-06,2535.1120
MX,2009-07,2579.1755
MX,2009-08,2558.6206
MX,2009-09,2616.0600
MX,2009-10,2618.0013
MX,2009-11,2568.3880
MX,2009-12,2607.0387
MX,2010-01,2629.1923
MX,2010-02,2624.1514
MX,2010-03,2608.4090
MX,2010-04,2606.1480
MX,2010-05,2606.1252
MX,2010-06,2556.1160
MX,2010-07,2583.5148
MX,2010-08,2569.5832
MX,2010-09,2580.1880
MX,2010-10,2579.8606
MX,2010-11,2518.5920
MX,2010-12,2583.0581
MX,2011-01,2596.9897
MX,2011-02,2569.0286
MX,2011-03,2587.6258
MX,2011-04,2587.2680
MX,2011-05,2569.1265
MX,2011-06,2557.0600
MX,2011-07,2545.8310
MX,2011-08,2565.9290
MX,2011-09,2501.8360
MX,2011-10,2568.4413
MX,2011-11,2542.9000
MX,2011-12,2569.8116
MX,2012-01,2530.0723
MX,2012-02,2556.6124
MX,2012-03,2561.8181
MX,2012-04,2553.5200
MX,2012-05,2556.3368
MX,2012-06,2552.8120
MX,2012-07,2537.1523
MX,2012-08,2565.0155
MX,2012-09,2563.9040
MX,2012-10,2549.0284
MX,2012-11,2585.3800
MX,2012-12,2573.0090
MX,2013-01,2570.2684
MX,2013-02,2564.2243
MX,2013-03,2524.1342
MX,2013-04,2527.7960
MX,2013-05,2520.4800
MX,2013-06,2529.4480
MX,2013-07,2491.2465
MX,2013-08,2524.1342
MX,2013-09,2531.8080
MX,2013-10,2548.1148
MX,2013-11,2520.2440
MX,2013-12,2524.1342
MX,2014-01,2512.7148
MX,2014-02,2507.8371
MX,2014-03,2475.7161
MX,2014-04,2485.0800
MX,2014-05,2496.0426
MX,2014-06,2440.2400
MX,2014-07,2392.3548
MX,2014-08,2417.9342
MX,2014-09,2392.8040
MX,2014-10,2366.3187
MX,2014-11,2366.3720
MX,2014-12,2357.4116
MX,2015-01,2252.1252
MX,2015-02,2335.3886
MX,2015-03,2323.1535
MX,2015-04,2208.0160
MX,2015-05,2232.7123
MX,2015-06,2251.9120
MX,2015-07,2275.4206
MX,2015-08,2256.4645
MX,2015-09,2271.0280
MX,2015-10,2278.6181
MX,2015-11,2277.6360
MX,2015-12,2275.8774
MX,2016-01,2259.6619
MX,2016-02,2215.3076
MX,2016-03,2217.6387
MX,2016-04,2177.3360
MX,2016-05,2176.5290
MX,2016-06,2180.6400
MX,2016-07,2161.2271
MX,2016-08,2147.5239
MX,2016-09,2117.1560
MX,2016-10,2108.0129
MX,2016-11,2077.2720
MX,2016-12,2041.7806
MX,2017-01,2026.4787
MX,2017-02,2022.3514
MX,2017-03,2023.9665
MX,2017-04,2017.8000
MX,2017-05,2026.9355
MX,2017-06,2015.4400
MX,2017-07,1993.1342
MX,2017-08,1939.6916
MX,2017-09,1732.7120
MX,2017-10,1911.1432
MX,2017-11,1878.5600
MX,2017-12,1881.6813
MX,2018-01,1937.6361
MX,2018-02,1906.7957
MX,2018-03,1875.7432
MX,2018-04,1897.9120
MX,2018-05,1879.6258
MX,2018-06,1858.0280
MX,2018-07,1852.6761
MX,2018-08,1830.9794
MX,2018-09,1839.1480
MX,2018-10,1781.4194
MX,2018-11,1730.8240
MX,2018-12,1743.5071
MX,2019-01,1653.2942
MX,2019-02,1736.1171
MX,2019-03,1724.5510
MX,2019-04,1708.6400
MX,2019-05,1698.9716
MX,2019-06,1705.8080
MX,2019-07,1709.7058
MX,2019-08,1721.8103
MX,2019-09,1744.5120
MX,2019-10,1693.7187
MX,2019-11,1734.8360
MX,2019-12,1744.6490
MX,2020-01,1759.9510
