REF_AREA,TIME_PERIOD,PRODUCTION
SA,2002-01,7150.0000
SA,2002-02,7071.0000
SA,2002-03,7096.0000
SA,2002-04,7074.0000
SA,2002-05,7031.0000
SA,2002-06,7084.0000
SA,2002-07,7100.0000
SA,2002-08,7082.0000
SA,2002-09,7089.0000
SA,2002-10,7101.0000
SA,2002-11,7170.0000
SA,2002-12,7069.0000
SA,2003-01,7801.0000
SA,2003-02,8038.0000
SA,2003-03,8132.0000
SA,2003-04,9745.0000
SA,2003-05,9443.0000
SA,2003-06,8314.0000
SA,2003-07,8239.0000
SA,2003-08,8282.0000
SA,2003-09,8251.0000
SA,2003-10,8287.0000
SA,2003-11,8045.0000
SA,2003-12,8333.0000
SA,2004-01,8038.0000
SA,2004-02,8121.0000
SA,2004-03,7987.0000
SA,2004-04,7774.0000
SA,2004-05,8695.0000
SA,2004-06,9365.0000
SA,2004-07,9491.0000
SA,2004-08,9518.0000
SA,2004-09,9369.0000
SA,2004-10,9446.0000
SA,2004-11,9598.0000
SA,2004-12,9328.0000
SA,2005-01,8897.0000
SA,2005-02,9321.0000
SA,2005-03,9204.0000
SA,2005-04,9255.0000
SA,2005-05,9432.0000
SA,2005-06,9432.0000
SA,2005-07,9501.0000
SA,2005-08,9501.0000
SA,2005-09,9445.0000
SA,2005-10,9500.0000
SA,2005-11,9478.0000
SA,2005-12,9279.0000
SA,2006-01,9561.0000
SA,2006-02,9611.0000
SA,2006-03,9521.0000
SA,2006-04,9223.0000
SA,2006-05,8930.0000
SA,2006-06,9401.0000
SA,2006-07,9237.0000
SA,2006-08,9214.0000
SA,2006-09,9137.0000
SA,2006-10,9073.0000
SA,2006-11,8932.0000
SA,2006-12,8691.0000
SA,2007-01,8377.0000
SA,2007-02,8661.0000
SA,2007-03,8854.0000
SA,2007-04,8555.0000
SA,2007-05,8680.0000
SA,2007-06,8636.0000
SA,2007-07,8956.0000
SA,2007-08,8609.0000
SA,2007-09,9074.0000
SA,2007-10,9138.0000
SA,2007-11,9029.0000
SA,2007-12,9206.0000
SA,2008-01,9204.0000
SA,2008-02,9216.0000
SA,2008-03,9124.0000
SA,2008-04,9124.0000
SA,2008-05,9006.0000
SA,2008-06,9512.0000
SA,2008-07,9471.0000
SA,2008-08,9538.0000
SA,2008-09,9463.0000
SA,2008-10,9520.0000
SA,2008-11,8606.0000
SA,2008-12,8586.0000
SA,2009-01,8102.0000
SA,2009-02,8065.0000
SA,2009-03,8358.0000
SA,2009-04,8038.0000
SA,2009-05,8213.0000
SA,2009-06,8357.0000
SA,2009-07,8243.0000
SA,2009-08,8189.0000
SA,2009-09,8191.0000
SA,2009-10,8284.0000
SA,2009-11,8219.0000
SA,2009-12,7945.0000
SA,2010-01,8188.0000
SA,2010-02,8106.0000
SA,2010-03,8181.0000
SA,2010-04,8170.0000
SA,2010-05,8066.0000
SA,2010-06,8073.0000
SA,2010-07,8177.0000
SA,2010-08,8168.0000
SA,2010-09,8063.0000
SA,2010-10,8162.0000
SA,2010-11,8259.0000
SA,2010-12,8365.0000
SA,2011-01,8514.0000
SA,2011-02,9020.0000
SA,2011-03,8655.0000
SA,2011-04,8820.0000
SA,2011-05,8895.0000
SA,2011-06,9813.0000
SA,2011-07,9606.0000
SA,2011-08,9756.0000
SA,2011-09,9436.0000
SA,2011-10,9362.0000
SA,2011-11,10047.0000
SA,2011-12,9810.0000
SA,2012-01,9871.0000
SA,2012-02,9853.0000
SA,2012-03,9923.0000
SA,2012-04,10102.0000
SA,2012-05,9807.0000
SA,2012-06,10103.0000
SA,2012-07,9801.0000
SA,2012-08,9753.0000
SA,2012-09,9724.0000
SA,2012-10,9724.0000
SA,2012-11,9492.0000
SA,2012-12,9025.0000
SA,2013-01,9050.0000
SA,2013-02,9150.0000
SA,2013-03,9136.0000
SA,2013-04,9310.0000
SA,2013-05,9657.0000
SA,2013-06,9642.0000
SA,2013-07,10034.0000
SA,2013-08,10190.0000
SA,2013-09,10123.0000
SA,2013-10,9753.0000
SA,2013-11,9746.0000
SA,2013-12,9819.0000
SA,2014-01,9767.0000
SA,2014-02,9850.0000
SA,2014-03,9566.0000
SA,2014-04,9660.0000
SA,2014-05,9705.0000
SA,2014-06,9780.0000
SA,2014-07,10005.0000
SA,2014-08,9597.0000
SA,2014-09,9704.0000
SA,2014-10,9690.0000
SA,2014-11,9610.0000
SA,2014-12,9630.0000
SA,2015-01,9680.0000
SA,2015-02,9636.0000
SA,2015-03,10294.0000
SA,2015-04,10308.0000
SA,2015-05,10333.0000
SA,2015-06,10564.0000
SA,2015-07,10361.0000
SA,2015-08,10265.0000
SA,2015-09,10226.0000
SA,2015-10,10276.0000
SA,2015-11,10186.0000
SA,2015-12,10144.0000
SA,2016-01,10230.0000
SA,2016-02,10220.0000
SA,2016-03,10224.0000
SA,2016-04,10262.0000
SA,2016-05,10270.0000
SA,2016-06,10550.0000
SA,2016-07,10673.0000
SA,2016-08,10630.0000
SA,2016-09,10650.0000
SA,2016-10,10625.0000
SA,2016-11,10720.0000
SA,2016-12,10465.0000
SA,2017-01,9796.0000
SA,2017-02,10011.0000
SA,2017-03,9951.0000
SA,2017-04,9946.0000
SA,2017-05,9880.0000
SA,2017-06,10070.0000
SA,2017-07,10010.0000
SA,2017-08,9951.0000
SA,2017-09,9973.0000
SA,2017-10,10056.0000
SA,2017-11,9891.0000
SA,2017-12,9980.0000
SA,2018-01,9983.0000
SA,2018-02,9935.0000
SA,2018-03,9907.0000
SA,2018-04,9868.0000
SA,2018-05,10030.0000
SA,2018-06,10489.0000
SA,2018-07,10288.0000
SA,2018-08,10412.0000
SA,2018-09,10502.0000
SA,2018-10,10642.0000
SA,2018-11,11093.0000
SA,2018-12,10643.0000
SA,2019-01,10243.0000
SA,2019-02,10136.0000
SA,2019-03,9787.0000
SA,2019-04,9807.0000
SA,2019-05,9670.0000
SA,2019-06,9782.0000
SA,2019-07,9580.0000
SA,2019-08,9789.0000
SA,2019-09,9129.0000
SA,2019-10,10302.0000
SA,2019-11,9890.0000
SA,2019-12,9594.0000
SA,2020-01,9748.0000
SA,2020-02,9784.0000
SA,2020-03,9733.0000
SA,2020-04,12007.0000
SA,2020-05,8486.0000
SA,2020-06,7484.0000
SA,2020-07,8479.0000
SA,2020-08,8984.0000
SA,2020-09,8982.0000
SA,2020-10,8974.0000
SA,2020-11,8972.0000
SA,2020-12,8980.0000
SA,2021-01,9103.0000
SA,2021-02,8147.0000
SA,2021-03,8138.0000
SA,2021-04,8134.0000
SA,2021-05,8544.0000
SA,2021-06,8927.0000
SA,2021-07,9474.0000
SA,2021-08,9562.0000
