REF_AREA,TIME_PERIOD,PRODUCTION
US,2002-01,5847.5806
US,2002-02,5871.3571
US,2002-03,5883.4516
US,2002-04,5858.7000
US,2002-05,5923.7097
US,2002-06,5915.3333
US,2002-07,5770.2903
US,2002-08,5811.2258
US,2002-09,5411.4000
US,2002-10,5363.3226
US,2002-11,5596.6333
US,2002-12,5699.2581
US,2003-01,5784.7742
US,2003-02,5790.5714
US,2003-03,5816.5806
US,2003-04,5773.9333
US,2003-05,5733.3226
US,2003-06,5700.9333
US,2003-07,5526.3226
US,2003-08,5595.0968
US,2003-09,5683.4667
US,2003-10,5634.6774
US,2003-11,5560.5000
US,2003-12,5578.6774
US,2004-01,5570.3226
US,2004-02,5555.9310
US,2004-03,5607.4839
US,2004-04,5526.5000
US,2004-05,5548.0000
US,2004-06,5398.3333
US,2004-07,5457.6774
US,2004-08,5333.0645
US,2004-09,5062.2667
US,2004-10,5156.4839
US,2004-11,5396.1333
US,2004-12,5413.4516
US,2005-01,5446.1613
US,2005-02,5501.3571
US,2005-03,5600.8387
US,2005-04,5562.8333
US,2005-05,5596.4839
US,2005-06,5442.1000
US,2005-07,5253.3548
US,2005-08,5198.4839
US,2005-09,4213.9000
US,2005-10,4554.8387
US,2005-11,4856.9333
US,2005-12,4988.0645
US,2006-01,5047.7419
US,2006-02,5031.9286
US,2006-03,5027.1613
US,2006-04,5081.6667
US,2006-05,5150.5484
US,2006-06,5162.8000
US,2006-07,5094.1613
US,2006-08,5039.7419
US,2006-09,5030.8667
US,2006-10,5108.1613
US,2006-11,5064.2000
US,2006-12,5186.0645
US,2007-01,5107.8065
US,2007-02,5117.8929
US,2007-03,5119.2581
US,2007-04,5180.2333
US,2007-05,5211.2258
US,2007-06,5075.1333
US,2007-07,5037.9032
US,2007-08,4969.6774
US,2007-09,4902.0333
US,2007-10,5021.9355
US,2007-11,5034.0333
US,2007-12,5110.5484
US,2008-01,5115.0323
US,2008-02,5148.1724
US,2008-03,5189.2903
US,2008-04,5180.1000
US,2008-05,5143.1290
US,2008-06,5137.7667
US,2008-07,5176.8065
US,2008-08,5002.9677
US,2008-09,3973.6000
US,2008-10,4737.6774
US,2008-11,5078.1000
US,2008-12,5102.6774
US,2009-01,5144.0968
US,2009-02,5239.2143
US,2009-03,5218.5806
US,2009-04,5278.1333
US,2009-05,5376.9032
US,2009-06,5269.3000
US,2009-07,5397.9355
US,2009-08,5417.5806
US,2009-09,5558.8333
US,2009-10,5524.4516
US,2009-11,5394.6000
US,2009-12,5451.7419
US,2010-01,5404.1613
US,2010-02,5553.4286
US,2010-03,5515.3548
US,2010-04,5392.3000
US,2010-05,5400.8710
US,2010-06,5379.5000
US,2010-07,5297.8710
US,2010-08,5447.3226
US,2010-09,5615.7667
US,2010-10,5630.5484
US,2010-11,5575.7333
US,2010-12,5607.4516
US,2011-01,5496.5484
US,2011-02,5405.5000
US,2011-03,5618.0000
US,2011-04,5561.9333
US,2011-05,5624.6129
US,2011-06,5589.1000
US,2011-07,5439.8387
US,2011-08,5665.0968
US,2011-09,5613.7000
US,2011-10,5902.4839
US,2011-11,6038.5667
US,2011-12,6112.4839
US,2012-01,6176.5161
US,2012-02,6268.3793
US,2012-03,6327.0323
US,2012-04,6320.0333
US,2012-05,6369.5484
US,2012-06,6275.4000
US,2012-07,6431.2258
US,2012-08,6350.5484
US,2012-09,6598.0667
US,2012-10,6969.5806
US,2012-11,7082.4000
US,2012-12,7105.8710
US,2013-01,7082.9032
US,2013-02,7145.3929
US,2013-03,7214.3226
US,2013-04,7373.5000
US,2013-05,7325.8387
US,2013-06,7277.1333
US,2013-07,7521.7419
US,2013-08,7534.2581
US,2013-09,7838.0667
US,2013-10,7760.2258
US,2013-11,7918.8333
US,2013-12,7932.3871
US,2014-01,8077.0968
US,2014-02,8141.0714
US,2014-03,8296.4194
US,2014-04,8526.3667
US,2014-05,8645.0645
US,2014-06,8741.7000
US,2014-07,8846.1613
US,2014-08,8931.1290
US,2014-09,9086.2000
US,2014-10,9264.7097
US,2014-11,9324.1000
US,2014-12,9563.4194
US,2015-01,9382.7742
US,2015-02,9489.6071
US,2015-03,9582.8065
US,2015-04,9657.6333
US,2015-05,9473.6774
US,2015-06,9357.0333
US,2015-07,9444.5484
US,2015-08,9409.0323
US,2015-09,9477.0333
US,2015-10,9399.3871
US,2015-11,9332.1000
US,2015-12,9274.5806
US,2016-01,9201.1290
US,2016-02,9060.4828
US,2016-03,9100.1935
US,2016-04,8873.1333
US,2016-05,8833.8710
US,2016-06,8675.4667
US,2016-07,8661.3548
US,2016-08,8689.0968
US,2016-09,8543.0667
US,2016-10,8802.9677
US,2016-11,8902.4667
US,2016-12,8815.1935
US,2017-01,8874.1290
US,2017-02,9093.8929
US,2017-03,9163.9355
US,2017-04,9101.0333
US,2017-05,9185.3548
US,2017-06,9109.9333
US,2017-07,9246.2258
US,2017-08,9249.7419
US,2017-09,9515.9667
US,2017-10,9667.8710
US,2017-11,10084.7333
US,2017-12,9982.7097
US,2018-01,10000.2903
US,2018-02,10262.0357
US,2018-03,10465.9032
US,2018-04,10499.2000
US,2018-05,10434.2903
US,2018-06,10639.8333
US,2018-07,10896.4839
US,2018-08,11391.2581
US,2018-09,11442.6000
US,2018-10,11507.9355
US,2018-11,11885.3333
US,2018-12,11943.6129
US,2019-01,11871.4839
US,2019-02,11651.5357
US,2019-03,11910.9032
US,2019-04,12144.5667
US,2019-05,12153.0645
US,2019-06,12216.0667
US,2019-07,11896.3548
US,2019-08,12479.1613
US,2019-09,12584.0333
US,2019-10,12804.5484
US,2019-11,12999.6333
US,2019-12,12980.3548
US,2020-01,12850.1290
US,2020-02,12844.4828
US,2020-03,12795.2258
US,2020-04,11910.5667
US,2020-05,9713.9677
US,2020-06,10446.4667
US,2020-07,11003.6452
US,2020-08,10578.6774
US,2020-09,10926.1667
US,2020-10,10455.7097
US,2020-11,11196.1333
US,2020-12,11171.5161
US,2021-01,11137.3548
US,2021-02,9915.9286
US,2021-03,11351.1290
US,2021-04,11318.0000
US,2021-05,11389.7419
US,2021-06,11365.9333
US,2021-07,11392.4194
US,2021-08,11276.3226
US,2021-09,10921.4333
US,2021-10,11563.7742
US,2021-11,11781.9333
US,2021-12,11678.1290
US,2022-01,11479.7742
US,2022-02,11257.8929
US,2022-03,11806.0323
US,2022-04,11769.8333
US,2022-05,11734.3871
US,2022-06,11800.3000
US,2022-07,11834.2903
US,2022-08,11985.2258
US,2022-09,12325.2000
US,2022-10,12377.5484
US,2022-11,12376.0333
US,2022-12,12138.0645
US,2023-01,12568.4516
US,2023-02,12532.3929
US,2023-03,12770.1290
US,2023-04,12650.0000
US,2023-05,12693.9677
US,2023-06,12894.4667
US,2023-07,12925.4194
US,2023-08,13041.0968
US,2023-09,13246.5667
US,2023-10,13218.7419
US,2023-11,13295.2667
US,2023-12,13295.3226
US,2024-01,12533.1935
US,2024-02,13275.8966
